ts,rdt
2018-02-22,10
2018-02-23,10
2018-02-24,10
2018-02-25,6
2018-02-26,0
2018-02-27,8
2018-02-28,10
2018-03-01,6
2018-03-02,11
2018-03-03,4
2018-03-04,1
2018-03-05,6
2018-03-06,8
2018-03-07,6
2018-03-08,5
2018-03-09,5
2018-03-10,10
2018-03-11,6
2018-03-12,6
2018-03-13,7
2018-03-14,10
2018-03-15,6
2018-03-16,4
2018-03-17,4
2018-03-18,4
2018-03-19,3
2018-03-20,2
2018-03-21,6
2018-03-22,8
2018-03-23,6
2018-03-24,1
2018-03-25,7
2018-03-26,4
2018-03-27,3
2018-03-28,9
2018-03-29,4
2018-03-30,1
2018-03-31,3
2018-04-01,4
2018-04-02,9
2018-04-03,13
2018-04-04,6
2018-04-05,4
2018-04-06,7
2018-04-07,6
2018-04-08,7
2018-04-09,5
2018-04-10,5
2018-04-11,11
2018-04-12,9
2018-04-13,6
2018-04-14,4
2018-04-15,9
2018-04-16,2
2018-04-17,24
2018-04-18,16
2018-04-19,14
2018-04-20,8
2018-04-21,15
2018-04-22,8
2018-04-23,4
2018-04-24,8
2018-04-25,7
2018-04-26,2
2018-04-27,11
2018-04-28,8
2018-04-29,3
2018-04-30,10
2018-05-01,7
2018-05-02,7
2018-05-03,9
2018-05-04,10
2018-05-05,4
2018-05-06,0
2018-05-07,11
2018-05-08,7
2018-05-09,8
2018-05-10,5
2018-05-11,5
2018-05-12,3
2018-05-13,4
2018-05-14,7
2018-05-15,9
2018-05-16,10
2018-05-17,10
2018-05-18,11
2018-05-19,4
2018-05-20,9
2018-05-21,10
2018-05-22,2
2018-05-23,17
2018-05-24,9
2018-05-25,17
2018-05-26,10
2018-05-27,6
2018-05-28,10
2018-05-29,7
2018-05-30,10
2018-05-31,16
2018-06-01,6
2018-06-02,15
2018-06-03,4
2018-06-04,11
2018-06-05,18
2018-06-06,18
2018-06-07,18
2018-06-08,6
2018-06-09,12
2018-06-10,0
2018-06-11,11
2018-06-12,10
2018-06-13,17
2018-06-14,7
2018-06-15,19
2018-06-16,5
2018-06-17,14
2018-06-18,12
2018-06-19,9
2018-06-20,16
2018-06-21,18
2018-06-22,14
2018-06-23,26
2018-06-24,5
2018-06-25,20
2018-06-26,11
2018-06-27,17
2018-06-28,14
2018-06-29,5
2018-06-30,14
2018-07-01,4
2018-07-02,3
2018-07-03,17
2018-07-04,4
2018-07-05,6
2018-07-06,6
2018-07-07,8
2018-07-08,5
2018-07-09,7
2018-07-10,18
2018-07-11,16
2018-07-12,10
2018-07-13,4
2018-07-14,11
2018-07-15,13
2018-07-16,12
2018-07-17,4
2018-07-18,15
2018-07-19,12
2018-07-20,14
2018-07-21,5
2018-07-22,7
2018-07-23,10
2018-07-24,16
2018-07-25,15
2018-07-26,12
2018-07-27,16
2018-07-28,3
2018-07-29,18
2018-07-30,14
2018-07-31,19
2018-08-01,13
2018-08-02,12
