ts,potus
2019-01-07 18:45:06,1
2019-01-06 22:03:27,1
2019-01-06 15:28:15,1
2019-01-06 15:28:13,1
2019-01-06 15:28:09,1
2019-01-06 02:16:01,1
2019-01-06 02:16:00,1
2019-01-05 21:07:24,1
2019-01-05 21:07:22,1
2019-01-05 21:07:20,1
2019-01-05 18:13:21,1
2019-01-05 18:13:10,1
2019-01-05 18:13:02,1
2019-01-05 18:13:01,1
2019-01-04 20:38:19,1
2019-01-03 20:30:29,1
2019-01-02 13:03:58,1
2019-01-02 01:07:49,1
2019-01-01 23:40:02,1
2019-01-01 23:40:00,1
2019-01-01 23:39:58,1
2019-01-01 23:39:57,1
2019-01-01 23:39:51,1
2019-01-01 18:12:45,1
2019-01-01 18:12:44,1
2019-01-01 18:12:33,1
2019-01-01 02:02:03,1
2019-01-01 02:01:58,1
2019-01-01 02:01:56,1
2019-01-01 02:01:52,1
2018-12-31 23:53:45,1
2018-12-31 20:56:05,1
2018-12-31 18:02:56,1
2018-12-31 18:02:54,1
2018-12-31 18:02:53,1
2018-12-31 18:02:50,1
2018-12-30 21:44:47,1
2018-12-30 21:44:46,1
2018-12-30 04:21:11,1
2018-12-30 04:21:09,1
2018-12-29 23:08:56,1
2018-12-29 23:08:53,1
2018-12-29 23:08:51,1
2018-12-29 23:08:48,1
2018-12-29 17:44:26,1
2018-12-29 17:44:24,1
2018-12-27 21:05:54,1
2018-12-27 21:05:52,1
2018-12-27 21:05:40,1
2018-12-27 21:05:39,1
2018-12-27 21:05:35,1
2018-12-26 22:18:30,1
2018-12-26 22:18:03,1
2018-12-26 22:17:49,1
2018-12-26 21:16:10,1
2018-12-25 02:28:22,1
2018-12-24 23:28:55,1
2018-12-24 21:43:49,1
2018-12-24 21:43:48,1
2018-12-24 21:43:47,1
2018-12-24 21:43:39,1
2018-12-24 21:15:41,1
2018-12-24 21:15:40,1
2018-12-24 21:15:26,1
2018-12-24 21:15:22,1
2018-12-24 04:06:33,1
2018-12-24 04:02:40,1
2018-12-24 04:02:38,1
2018-12-23 23:07:41,1
2018-12-23 23:07:38,1
2018-12-23 23:07:30,1
2018-12-23 23:07:21,1
2018-12-23 17:15:21,1
2018-12-23 17:15:11,1
2018-12-23 17:15:00,1
2018-12-23 02:25:56,1
2018-12-23 02:25:55,1
2018-12-23 02:25:42,1
2018-12-22 02:49:28,1
2018-12-22 00:20:06,1
2018-12-21 23:24:03,1
2018-12-21 22:15:29,1
2018-12-21 20:28:07,1
2018-12-21 19:57:02,1
2018-12-21 19:41:24,1
2018-12-21 19:05:58,1
2018-12-21 17:26:24,1
2018-12-21 15:32:47,1
2018-12-21 03:31:50,1
2018-12-21 03:31:48,1
2018-12-21 02:03:46,1
2018-12-20 23:34:18,1
