ts,rdt
2019-01-07 18:44:41,1
2019-01-07 14:55:05,1
2019-01-07 13:38:34,1
2019-01-07 13:31:00,1
2019-01-07 13:09:03,1
2019-01-07 12:56:19,1
2019-01-06 21:53:57,1
2019-01-06 15:27:49,1
2019-01-06 14:59:33,1
2019-01-06 12:41:23,1
2019-01-06 12:41:04,1
2019-01-06 12:33:39,1
2019-01-06 12:01:42,1
2019-01-06 02:15:10,1
2019-01-06 02:06:29,1
2019-01-06 01:47:56,1
2019-01-06 01:35:32,1
2019-01-06 01:00:30,1
2019-01-05 21:05:59,1
2019-01-05 20:49:27,1
2019-01-05 17:27:18,1
2019-01-05 16:13:07,1
2019-01-05 15:54:42,1
2019-01-05 15:16:14,1
2019-01-05 14:48:55,1
2019-01-05 13:55:41,1
2019-01-05 12:57:17,1
2019-01-05 12:31:03,1
2019-01-05 12:17:35,1
2019-01-05 01:10:43,1
2019-01-04 21:45:27,1
2019-01-04 20:36:38,1
2019-01-04 14:39:07,1
2019-01-04 13:16:20,1
2019-01-04 13:06:40,1
2019-01-04 01:19:18,1
2019-01-04 01:19:17,1
2019-01-03 20:25:18,1
2019-01-03 17:40:49,1
2019-01-03 16:10:31,1
2019-01-03 14:52:13,1
2019-01-03 14:44:19,1
2019-01-03 14:36:57,1
2019-01-03 04:09:52,1
2019-01-03 00:07:38,1
2019-01-03 00:07:37,1
2019-01-02 13:35:30,1
2019-01-02 12:53:55,1
2019-01-02 00:43:50,1
2019-01-01 23:39:32,1
2019-01-01 23:11:12,1
2019-01-01 22:51:12,1
2019-01-01 22:44:03,1
2019-01-01 19:02:36,1
2019-01-01 18:12:08,1
2019-01-01 15:51:09,1
2019-01-01 15:32:30,1
2019-01-01 14:55:01,1
2019-01-01 14:54:32,1
2019-01-01 14:52:33,1
2019-01-01 14:50:39,1
2019-01-01 14:32:01,1
2019-01-01 14:25:32,1
2019-01-01 13:08:29,1
2019-01-01 12:51:34,1
2019-01-01 02:01:26,1
2019-01-01 01:05:39,1
2019-01-01 00:51:43,1
2019-01-01 00:40:26,1
2018-12-31 23:53:06,1
2018-12-31 20:02:52,1
2018-12-31 20:02:52,1
2018-12-31 15:39:15,1
2018-12-31 15:37:14,1
2018-12-31 14:38:52,1
2018-12-31 13:29:32,1
2018-12-31 13:19:13,1
2018-12-31 13:12:40,1
2018-12-31 13:03:05,1
2018-12-31 12:51:22,1
2018-12-30 21:59:44,1
2018-12-30 16:56:09,1
2018-12-30 15:28:35,1
2018-12-30 03:15:36,1
2018-12-30 03:01:28,1
2018-12-29 21:06:08,1
2018-12-29 19:25:47,1
2018-12-29 18:36:17,1
2018-12-29 18:30:16,1
2018-12-29 16:03:02,1
2018-12-29 15:52:24,1
2018-12-29 15:42:50,1
2018-12-28 14:51:07,1
2018-12-28 13:06:13,1
2018-12-28 12:49:26,1
2018-12-28 12:42:12,1
2018-12-28 12:16:40,1
2018-12-27 23:23:36,1
2018-12-27 22:10:07,1
2018-12-27 21:26:10,1
2018-12-27 21:04:24,1
2018-12-27 21:04:06,1
2018-12-27 20:39:59,1
2018-12-27 19:44:49,1
2018-12-27 19:41:45,1
2018-12-27 12:06:25,1
2018-12-27 11:59:04,1
2018-12-26 20:35:25,1
2018-12-25 23:18:44,1
2018-12-25 12:59:08,1
2018-12-25 02:28:40,1
2018-12-24 22:24:13,1
2018-12-24 21:14:12,1
2018-12-24 17:32:44,1
